Id;CalculationDate;Variable;Value
4;2019-03-28;TurnoverRealization;1.379054904
54;2019-03-28;PredictionOfOrdersValue;62864716
59;2019-03-29;TurnoverRealization;1.363919616
109;2019-03-29;PredictionOfOrdersValue;63429752
128;2019-03-31;TurnoverRealization;1.35725224
177;2019-03-31;PredictionOfOrdersValue;63720828
196;2019-04-01;TurnoverRealization;1.34181118
245;2019-04-01;PredictionOfOrdersValue;63720828
265;2019-04-02;TurnoverRealization;1.35330832
314;2019-04-02;PredictionOfOrdersValue;64512576
334;2019-04-03;TurnoverRealization;1.370318532
385;2019-04-03;PredictionOfOrdersValue;64547892
405;2019-04-04;TurnoverRealization;1.393433094
455;2019-04-04;PredictionOfOrdersValue;64994636
475;2019-04-05;TurnoverRealization;1.42250967
525;2019-04-05;PredictionOfOrdersValue;65033808
545;2019-04-06;TurnoverRealization;1.413263083
595;2019-04-06;PredictionOfOrdersValue;65199168
615;2019-04-07;TurnoverRealization;1.398212314
665;2019-04-07;PredictionOfOrdersValue;65199168
685;2019-04-08;TurnoverRealization;1.383478522
735;2019-04-08;PredictionOfOrdersValue;65198104
755;2019-04-09;TurnoverRealization;1.431541324
805;2019-04-09;PredictionOfOrdersValue;65513076
825;2019-04-10;TurnoverRealization;1.445928693
875;2019-04-10;PredictionOfOrdersValue;65668184
895;2019-04-11;TurnoverRealization;1.456007361
946;2019-04-11;PredictionOfOrdersValue;65948396
966;2019-04-12;TurnoverRealization;1.487117767
1017;2019-04-12;PredictionOfOrdersValue;66649208
1037;2019-04-13;TurnoverRealization;1.478006959
1088;2019-04-13;PredictionOfOrdersValue;67111296
1108;2019-04-15;TurnoverRealization;1.448997617
1159;2019-04-15;PredictionOfOrdersValue;67112304
1179;2019-04-16;TurnoverRealization;1.447038531
1230;2019-04-16;PredictionOfOrdersValue;66848616
1250;2019-04-17;TurnoverRealization;1.460711122
1301;2019-04-17;PredictionOfOrdersValue;67105472
1321;2019-04-18;TurnoverRealization;1.468824506
1372;2019-04-18;PredictionOfOrdersValue;68460256
1392;2019-04-19;TurnoverRealization;1.456338286
1443;2019-04-19;PredictionOfOrdersValue;69281928
1477;2019-04-20;TurnoverRealization;1.445081353
1542;2019-04-20;PredictionOfOrdersValue;69480176
1562;2019-04-21;TurnoverRealization;1.431688547
1627;2019-04-21;PredictionOfOrdersValue;69480176
1647;2019-04-22;TurnoverRealization;1.418541551
1712;2019-04-22;PredictionOfOrdersValue;69480176
1732;2019-04-23;TurnoverRealization;1.405633807
1797;2019-04-23;PredictionOfOrdersValue;69480272
1817;2019-04-24;TurnoverRealization;1.396566987
1882;2019-04-24;PredictionOfOrdersValue;69530688
1902;2019-04-25;TurnoverRealization;1.399973512
1967;2019-04-25;PredictionOfOrdersValue;69861976
1987;2019-04-26;TurnoverRealization;1.391566515
2052;2019-04-26;PredictionOfOrdersValue;70527616
2072;2019-04-27;TurnoverRealization;1.39706099
2137;2019-04-27;PredictionOfOrdersValue;70681520
2157;2019-04-28;TurnoverRealization;1.384902
2222;2019-04-28;PredictionOfOrdersValue;70697320
2242;2019-04-29;TurnoverRealization;1.3729527
2307;2019-04-29;PredictionOfOrdersValue;70697320
2327;2019-04-30;TurnoverRealization;1.39782846
2392;2019-04-30;PredictionOfOrdersValue;72664512
2412;2019-05-01;TurnoverRealization;1.413176537
2477;2019-05-01;PredictionOfOrdersValue;73296064
2497;2019-05-02;TurnoverRealization;1.397728682
2562;2019-05-02;PredictionOfOrdersValue;73254144
2583;2019-05-03;TurnoverRealization;1.396444321
2648;2019-05-03;PredictionOfOrdersValue;72831168
2669;2019-05-04;TurnoverRealization;1.381506085
2734;2019-05-04;PredictionOfOrdersValue;72831168
2755;2019-05-05;TurnoverRealization;1.366883874
2821;2019-05-05;PredictionOfOrdersValue;72744920
2842;2019-05-06;TurnoverRealization;1.363661647
2908;2019-05-06;PredictionOfOrdersValue;72919632
2929;2019-05-07;TurnoverRealization;1.357066751
2994;2019-05-07;PredictionOfOrdersValue;72665168
3015;2019-05-08;TurnoverRealization;1.363698721
3080;2019-05-08;PredictionOfOrdersValue;73059744
3101;2019-05-09;TurnoverRealization;1.37140882
3166;2019-05-09;PredictionOfOrdersValue;72976256
3445;2019-05-10;TurnoverRealization;1.31540966
3510;2019-05-10;PredictionOfOrdersValue;63151552
3531;2019-05-11;TurnoverRealization;1.300024271
3596;2019-05-11;PredictionOfOrdersValue;63119216
3617;2019-05-12;TurnoverRealization;1.287213802
3682;2019-05-12;PredictionOfOrdersValue;63119216
3703;2019-05-13;TurnoverRealization;1.274653196
3768;2019-05-13;PredictionOfOrdersValue;63115864
3789;2019-05-14;TurnoverRealization;1.278148413
3854;2019-05-14;PredictionOfOrdersValue;63556440
3875;2019-05-15;TurnoverRealization;1.287904978
3940;2019-05-15;PredictionOfOrdersValue;64167164
3961;2019-05-16;TurnoverRealization;1.282502294
4026;2019-05-16;PredictionOfOrdersValue;63790460
4047;2019-05-17;TurnoverRealization;1.314865589
4112;2019-05-17;PredictionOfOrdersValue;63795888
4133;2019-05-18;TurnoverRealization;1.310976386
4198;2019-05-18;PredictionOfOrdersValue;63964076
4219;2019-05-19;TurnoverRealization;1.282916069
4284;2019-05-19;PredictionOfOrdersValue;63678224
4305;2019-05-20;TurnoverRealization;1.292183399
4370;2019-05-20;PredictionOfOrdersValue;64057188
4477;2019-05-21;TurnoverRealization;1.329254389
4542;2019-05-21;PredictionOfOrdersValue;65371868
4563;2019-05-22;TurnoverRealization;1.337939858
4628;2019-05-22;PredictionOfOrdersValue;65750832
4649;2019-05-23;TurnoverRealization;1.3295542
4714;2019-05-23;PredictionOfOrdersValue;66355564
4735;2019-05-24;TurnoverRealization;1.343055964
4800;2019-05-24;PredictionOfOrdersValue;66711300
4821;2019-05-25;TurnoverRealization;1.34042716
4886;2019-05-25;PredictionOfOrdersValue;67069680
4907;2019-05-26;TurnoverRealization;1.316671133
4972;2019-05-26;PredictionOfOrdersValue;66838272
4993;2019-05-27;TurnoverRealization;1.325091839
5058;2019-05-27;PredictionOfOrdersValue;67217240
5079;2019-05-28;TurnoverRealization;1.313812494
5144;2019-05-28;PredictionOfOrdersValue;67462288
5165;2019-05-29;TurnoverRealization;1.317713618
5230;2019-05-29;PredictionOfOrdersValue;67408336
5251;2019-05-30;TurnoverRealization;1.31611526
5316;2019-05-30;PredictionOfOrdersValue;67602000
5423;2019-05-31;TurnoverRealization;1.308929086
5488;2019-05-31;PredictionOfOrdersValue;67664512
5509;2019-06-01;TurnoverRealization;1.31467545
5575;2019-06-01;PredictionOfOrdersValue;68039600
5596;2019-06-02;TurnoverRealization;1.320377588
5662;2019-06-02;PredictionOfOrdersValue;68424704
5683;2019-06-03;TurnoverRealization;1.329805851
5749;2019-06-03;PredictionOfOrdersValue;68888480
5770;2019-06-04;TurnoverRealization;1.316634536
5836;2019-06-04;PredictionOfOrdersValue;68637144
5858;2019-06-05;TurnoverRealization;1.322374105
5925;2019-06-05;PredictionOfOrdersValue;69287040
5947;2019-06-06;TurnoverRealization;1.315675616
6014;2019-06-06;PredictionOfOrdersValue;69329712
6036;2019-06-07;TurnoverRealization;1.306632876
6103;2019-06-07;PredictionOfOrdersValue;69247616
6125;2019-06-08;TurnoverRealization;1.304191709
6192;2019-06-08;PredictionOfOrdersValue;69817824
